ts,city,event_date,ticker,action,price_c,fill_vwap_c,filled_qty,qty,fee_c,p_model,ev_c,pnl_taker_c,pnl_maker_c,clv_c,phase_label,note
2026-07-31T15:12:57+00:00,lax,2026-07-31,KXHIGHLAX-26JUL31-T80,SELL,63,64.0,100,100,2,27.4,,900,1300,,training,edge_gone
2026-07-31T15:12:57+00:00,sea,2026-07-31,KXHIGHTSEA-26JUL31-B81.5,OPEN,25,27.4,100,100,2,66.8,39.8,,,,training,d0
2026-07-31T15:12:57+00:00,lv,2026-07-30,KXHIGHTLV-26JUL30-B112.5,SETTLE,0,21,100,100,0,31.5,,-2300,-2100,-20.5,training,held
2026-07-31T15:12:57+00:00,lax,2026-07-30,KXHIGHLAX-26JUL30-B76.5,SETTLE,0,22,100,100,0,35.8,,-2400,-2200,-21.5,training,held
2026-07-31T15:12:57+00:00,den,2026-07-30,KXHIGHDEN-26JUL30-B93.5,SETTLE,0,45,100,100,0,61.3,,,,-44.5,training,hold_would_be -4700
2026-07-31T15:12:57+00:00,sea,2026-07-30,KXHIGHTSEA-26JUL30-B77.5,SETTLE,0,58,100,100,0,63.8,,-6000,-5800,-57.5,training,held
2026-08-01T03:52:52+00:00,lax,2026-08-01,KXHIGHLAX-26AUG01-B78.5,OPEN,16,16.21,100,100,1,26.7,9.7,,,,training,d1
2026-08-01T03:52:52+00:00,lv,2026-08-01,KXHIGHTLV-26AUG01-B116.5,OPEN,24,24.82,100,100,2,31.5,5.5,,,,training,d1
2026-08-01T03:52:52+00:00,sea,2026-08-01,KXHIGHTSEA-26AUG01-B70.5,OPEN,19,20.5,100,100,2,30.0,9.0,,,,training,d1
2026-08-01T07:11:01+00:00,lax,2026-08-01,KXHIGHLAX-26AUG01-B78.5,SELL,11,11.0,100,100,1,2.8,,-700,-500,,training,edge_gone
2026-08-01T14:22:15+00:00,den,2026-08-01,KXHIGHDEN-26AUG01-B92.5,OPEN,43,44.2,100,100,2,61.3,16.3,,,,training,d0
2026-08-01T14:22:15+00:00,chi,2026-08-01,KXHIGHCHI-26AUG01-B74.5,OPEN,36,36.63,100,100,2,60.5,22.5,,,,training,d0
2026-08-01T14:22:15+00:00,aus,2026-08-01,KXHIGHAUS-26AUG01-B98.5,OPEN,42,43.13,100,100,2,61.5,17.5,,,,training,d0
2026-08-01T14:22:15+00:00,sat,2026-08-01,KXHIGHTSATX-26AUG01-B97.5,OPEN,49,49.0,100,100,2,63.1,12.1,,,,training,d0
2026-08-01T14:22:15+00:00,nola,2026-08-01,KXHIGHTNOLA-26AUG01-B97.5,OPEN,20,22.28,100,100,2,52.0,30.0,,,,training,d0
2026-08-01T14:22:15+00:00,okc,2026-08-01,KXHIGHTOKC-26AUG01-B93.5,OPEN,47,47.99,100,100,2,62.8,13.8,,,,training,d0
2026-08-01T14:22:15+00:00,den,2026-07-31,KXHIGHDEN-26JUL31-T92,SETTLE,0,19,100,100,0,30.8,,-2100,-1900,-18.5,training,held
2026-08-01T14:22:15+00:00,lax,2026-07-31,KXHIGHLAX-26JUL31-T80,SETTLE,0,51,100,100,0,97.6,,,,-50.5,training,hold_would_be -5300
2026-08-01T14:22:15+00:00,lv,2026-07-31,KXHIGHTLV-26JUL31-B110.5,SETTLE,0,15,100,100,0,25.5,,-1600,-1500,-14.5,training,held
2026-08-01T14:22:15+00:00,sea,2026-07-31,KXHIGHTSEA-26JUL31-B81.5,SETTLE,0,27,100,100,0,66.8,,-2900,-2700,-26.5,training,held
2026-08-01T14:47:18+00:00,den,2026-08-01,KXHIGHDEN-26AUG01-B92.5,SELL,42,38.35,100,100,2,7.1,,-1000,-600,,training,edge_gone
2026-08-01T14:47:18+00:00,chi,2026-08-01,KXHIGHCHI-26AUG01-B74.5,SELL,33,31.65,100,100,2,24.0,,-900,-500,,training,edge_gone
2026-08-01T14:47:18+00:00,aus,2026-08-01,KXHIGHAUS-26AUG01-B98.5,SELL,41,39.84,100,100,2,19.4,,-700,-300,,training,edge_gone
2026-08-02T03:55:34+00:00,den,2026-08-02,KXHIGHDEN-26AUG02-T103,OPEN,10,10.28,100,100,1,17.5,6.5,,,,training,d1
2026-08-02T03:55:34+00:00,okc,2026-08-01,KXHIGHTOKC-26AUG01-B93.5,SELL,99,99.0,100,100,1,62.8,,4800,5100,,training,edge_gone
2026-08-02T04:59:20+00:00,lax,2026-08-02,KXHIGHLAX-26AUG02-B78.5,OPEN,26,26.0,100,100,2,35.8,7.8,,,,training,d1
2026-08-02T07:14:21+00:00,den,2026-08-02,KXHIGHDEN-26AUG02-T103,SELL,10,8.73,100,100,1,2.4,,-300,-100,,training,edge_gone
2026-08-02T14:23:09+00:00,aus,2026-08-02,KXHIGHAUS-26AUG02-B101.5,OPEN,22,24.09,100,100,2,32.0,8.0,,,,training,d0
2026-08-02T14:23:09+00:00,dal,2026-08-02,KXHIGHTDAL-26AUG02-B95.5,OPEN,42,42.0,100,100,2,65.3,21.3,,,,training,d0
2026-08-02T14:23:09+00:00,nola,2026-08-02,KXHIGHTNOLA-26AUG02-T91,OPEN,67,67.89,100,100,2,98.0,29.0,,,,training,d0
2026-08-02T14:23:09+00:00,okc,2026-08-02,KXHIGHTOKC-26AUG02-B95.5,OPEN,42,43.78,100,100,2,62.8,18.8,,,,training,d0
2026-08-02T14:23:09+00:00,lax,2026-08-01,KXHIGHLAX-26AUG01-B78.5,SETTLE,0,16,100,100,0,26.7,,,,-15.5,training,hold_would_be -1700
2026-08-02T14:23:09+00:00,lv,2026-08-01,KXHIGHTLV-26AUG01-B116.5,SETTLE,0,25,100,100,0,31.5,,-2700,-2500,-24.5,training,held
2026-08-02T14:23:09+00:00,sea,2026-08-01,KXHIGHTSEA-26AUG01-B70.5,SETTLE,0,20,100,100,0,30.0,,-2200,-2000,-19.5,training,held
2026-08-02T14:23:09+00:00,den,2026-08-01,KXHIGHDEN-26AUG01-B92.5,SETTLE,0,44,100,100,0,61.3,,,,-43.5,training,hold_would_be -4600
2026-08-02T14:23:09+00:00,chi,2026-08-01,KXHIGHCHI-26AUG01-B74.5,SETTLE,0,37,100,100,0,60.5,,,,-36.5,training,hold_would_be -3900
2026-08-02T14:23:09+00:00,aus,2026-08-01,KXHIGHAUS-26AUG01-B98.5,SETTLE,0,43,100,100,0,61.5,,,,-42.5,training,hold_would_be -4500
2026-08-02T14:23:09+00:00,sat,2026-08-01,KXHIGHTSATX-26AUG01-B97.5,SETTLE,0,49,100,100,0,63.1,,-5100,-4900,-48.5,training,held
2026-08-02T14:23:09+00:00,nola,2026-08-01,KXHIGHTNOLA-26AUG01-B97.5,SETTLE,0,22,100,100,0,52.0,,-2400,-2200,-21.5,training,held
2026-08-02T14:23:09+00:00,okc,2026-08-01,KXHIGHTOKC-26AUG01-B93.5,SETTLE,100,48,100,100,0,62.8,,,,51.5,training,hold_would_be 5000
2026-08-02T18:28:16+00:00,okc,2026-08-02,KXHIGHTOKC-26AUG02-B95.5,SELL,40,39.14,100,100,2,26.5,,-900,-500,,training,edge_gone
2026-08-03T03:56:55+00:00,lax,2026-08-03,KXHIGHLAX-26AUG03-B76.5,OPEN,24,24.16,100,100,2,35.8,9.8,,,,training,d1
2026-08-03T03:56:55+00:00,lax,2026-08-02,KXHIGHLAX-26AUG02-B78.5,SELL,99,99.0,100,100,1,68.6,,7000,7300,,training,edge_gone
2026-08-03T03:56:55+00:00,lv,2026-08-03,KXHIGHTLV-26AUG03-B114.5,OPEN,35,35.0,100,100,2,52.5,15.5,,,,training,d1
2026-08-03T03:56:55+00:00,dal,2026-08-02,KXHIGHTDAL-26AUG02-B95.5,SELL,99,99.0,100,100,1,54.7,,5400,5700,,training,edge_gone
2026-08-03T05:22:06+00:00,nola,2026-08-02,KXHIGHTNOLA-26AUG02-T91,SELL,99,99.0,100,100,1,2.3,,2800,3100,,training,edge_gone
